departamentocodigo,Departamento,municipiocodigo,Municipio,Nombre_comercial,bandera,Direccion,producto,precio,estado,fecharegistro,periodo,mes,Dir2,Full_Address,Coords
5,ANTIOQUIA,5360,ITAGUI,ESTACION TEXACO #3,TEXACO,CARRERA 42 No. 73A-29,GASOLINA EXTRA OXIGENADA,11310,1,2018-05-04,2018,5,CARRERA 42 No. 73A-29,"CARRERA 42 No. 73A-29, Itagui, Colombia","(6.18076, -75.59176)"
5,ANTIOQUIA,5001,MEDELLIN,ESTACION DE SERVICIO ESSO LOS ALAMOS NO 9,MOBIL,Carrera 52 No. 65 - 07,BIODIESEL EXTRA,9210,1,2018-05-02,2018,5,Carrera 52 No. 65 - 07,"Carrera 52 No. 65 - 07, Medellin, Colombia","(6.29254, -75.56202)"
5,ANTIOQUIA,5001,MEDELLIN,ESTACION DE SERVICIO ESSO LOS ALAMOS NO 9,MOBIL,Carrera 52 No. 65 - 07,GASOLINA CORRIENTE OXIGENADA,9100,1,2018-05-02,2018,5,Carrera 52 No. 65 - 07,"Carrera 52 No. 65 - 07, Medellin, Colombia","(6.29254, -75.56202)"
5,ANTIOQUIA,5001,MEDELLIN,ESTACION DE SERVICIO ESSO LOS ALAMOS NO 9,MOBIL,Carrera 52 No. 65 - 07,GASOLINA EXTRA OXIGENADA,11800,1,2018-05-02,2018,5,Carrera 52 No. 65 - 07,"Carrera 52 No. 65 - 07, Medellin, Colombia","(6.29254, -75.56202)"
11,BOGOTA D.C.,11001,BOGOTA D.C.,EDS TERPEL ENGATIVA,TERPEL,CALLE 62 No. 97 - 10,BIOACEM AL 9%,8220,1,2018-05-02,2018,5,CALLE 62 No. 97 - 10,"CALLE 62 No. 97 - 10, Bogota d.c., Colombia","(4.64605, -74.05855)"
11,BOGOTA D.C.,11001,BOGOTA D.C.,EDS TERPEL ENGATIVA,TERPEL,CALLE 62 No. 97 - 10,GASOLINA CORRIENTE OXIGENADA,8840,1,2018-05-02,2018,5,CALLE 62 No. 97 - 10,"CALLE 62 No. 97 - 10, Bogota d.c., Colombia","(4.64605, -74.05855)"
11,BOGOTA D.C.,11001,BOGOTA D.C.,EDS TERPEL ENGATIVA,TERPEL,CALLE 62 No. 97 - 10,GASOLINA EXTRA OXIGENADA,11310,1,2018-05-02,2018,5,CALLE 62 No. 97 - 10,"CALLE 62 No. 97 - 10, Bogota d.c., Colombia","(4.64605, -74.05855)"
11,BOGOTA D.C.,11001,BOGOTA D.C.,EDS TERPEL ENGATIVA,TERPEL,CALLE 62 No. 97 - 10,BIODIESEL EXTRA,8220,1,2018-05-02,2018,5,CALLE 62 No. 97 - 10,"CALLE 62 No. 97 - 10, Bogota d.c., Colombia","(4.64605, -74.05855)"
11,BOGOTA D.C.,11001,BOGOTA D.C.,ESTACION DE SERVICIO AUTOMOTRIZ SANTANDER,TERPEL,CARRERA 27 No. 31C-63 SUR,BIODIESEL EXTRA,7986,1,2018-05-01,2018,5,CARRERA 27 No. 31C-63 SUR,"CARRERA 27 No. 31C-63 SUR, Bogota d.c., Colombia","(4.58578, -74.1163)"
11,BOGOTA D.C.,11001,BOGOTA D.C.,ESTACION DE SERVICIO AUTOMOTRIZ SANTANDER,TERPEL,CARRERA 27 No. 31C-63 SUR,BIOACEM AL 9%,7986,1,2018-05-01,2018,5,CARRERA 27 No. 31C-63 SUR,"CARRERA 27 No. 31C-63 SUR, Bogota d.c., Colombia","(4.58578, -74.1163)"
11,BOGOTA D.C.,11001,BOGOTA D.C.,ESTACION DE SERVICIO AUTOMOTRIZ SANTANDER,TERPEL,CARRERA 27 No. 31C-63 SUR,GASOLINA CORRIENTE OXIGENADA,8550,1,2018-05-01,2018,5,CARRERA 27 No. 31C-63 SUR,"CARRERA 27 No. 31C-63 SUR, Bogota d.c., Colombia","(4.58578, -74.1163)"
5,ANTIOQUIA,5154,CAUCASIA,DISTRIBUCIONES ALYMAR,TERPEL,Carrera 1 y 2 No 23 - 37 Barrio El Centro,GASOLINA CORRIENTE OXIGENADA,9210,1,2018-05-09,2018,5,Carrera 1 y 2 No 23 - 37 Barrio El Centro,"Carrera 1 y 2 No 23 - 37 Barrio El Centro, Caucasia, Colombia","(1.21334, -77.27783)"
5,ANTIOQUIA,5154,CAUCASIA,DISTRIBUCIONES ALYMAR,TERPEL,Carrera 1 y 2 No 23 - 37 Barrio El Centro,BIODIESEL EXTRA,8399,1,2018-05-09,2018,5,Carrera 1 y 2 No 23 - 37 Barrio El Centro,"Carrera 1 y 2 No 23 - 37 Barrio El Centro, Caucasia, Colombia","(1.21334, -77.27783)"
11,BOGOTA D.C.,11001,BOGOTA D.C.,ESTACIÓN DE SERVICIO BRIO CANEY,BIOMAX,AVENIDA CALLE 17 No. 126-23,BIODIESEL EXTRA,8390,1,2018-05-04,2018,5,AVENIDA CALLE 17 No. 126-23,"AVENIDA CALLE 17 No. 126-23, Bogota d.c., Colombia","(4.68872, -74.16241)"
11,BOGOTA D.C.,11001,BOGOTA D.C.,ESTACIÓN DE SERVICIO BRIO CANEY,BIOMAX,AVENIDA CALLE 17 No. 126-23,GASOLINA CORRIENTE OXIGENADA,9098,1,2018-05-04,2018,5,AVENIDA CALLE 17 No. 126-23,"AVENIDA CALLE 17 No. 126-23, Bogota d.c., Colombia","(4.68872, -74.16241)"
11,BOGOTA D.C.,11001,BOGOTA D.C.,ESTACIÓN DE SERVICIO BRIO CANEY,BIOMAX,AVENIDA CALLE 17 No. 126-23,BIOACEM AL 9%,8390,1,2018-05-04,2018,5,AVENIDA CALLE 17 No. 126-23,"AVENIDA CALLE 17 No. 126-23, Bogota d.c., Colombia","(4.68872, -74.16241)"
11,BOGOTA D.C.,11001,BOGOTA D.C.,ESTACION DE SERVICIO HERGOS GASOLINA,TERPEL,CALLE 73 NO 86 -08,BIOACEM AL 9%,8259,1,2018-05-04,2018,5,CALLE 73 NO 86 -08,"CALLE 73 NO 86 -08, Bogota d.c., Colombia","(4.69209, -74.09782)"
11,BOGOTA D.C.,11001,BOGOTA D.C.,ESTACION DE SERVICIO HERGOS GASOLINA,TERPEL,CALLE 73 NO 86 -08,GASOLINA CORRIENTE OXIGENADA,8959,1,2018-05-04,2018,5,CALLE 73 NO 86 -08,"CALLE 73 NO 86 -08, Bogota d.c., Colombia","(4.69209, -74.09782)"
11,BOGOTA D.C.,11001,BOGOTA D.C.,ESTACION DE SERVICIO HERGOS GASOLINA,TERPEL,CALLE 73 NO 86 -08,BIODIESEL EXTRA,8259,1,2018-05-04,2018,5,CALLE 73 NO 86 -08,"CALLE 73 NO 86 -08, Bogota d.c., Colombia","(4.69209, -74.09782)"
